Date,,Road,efficiency
2015/3/6,, 立功路,0.254032258
2015/3/7,, 立功路,0.25
2015/3/9,, 立功路,0.387096774
2015/3/10,, 立功路,0.27688172
2015/3/11,, 立功路,0.245967742
2015/3/12,, 立功路,0.375
2015/3/13,, 立功路,0.717741935
2015/3/14,, 立功路,0.516129032
2015/3/16,, 立功路,0.705645161
2015/3/17,, 立功路,0.413306452
2015/3/18,, 立功路,0.806451613
2015/3/19,, 立功路,0.733870968
2015/3/20,, 立功路,0.810483871
2015/3/21,, 立功路,0.451612903
2015/3/23,, 立功路,0.316532258
2015/3/24,, 立功路,0.762096774
2015/3/25,, 立功路,0.713709677
2015/3/26,, 立功路,0.330645161
2015/3/27,, 立功路,0.391129032
2015/3/28,, 立功路,0.439516129
2015/3/30,, 立功路,0.399193548
2015/3/31,, 立功路,0.391129032
2015/4/1,, 立功路,0.725806452
2015/4/2,, 立功路,0.532258065
2015/4/7,, 立功路,0.762096774
2015/4/8,, 立功路,0.41733871
2015/4/9,, 立功路,0.673387097
2015/4/10,, 立功路,0.814516129
2015/4/11,, 立功路,0.197580645
2015/4/13,, 立功路,0.782258065
2015/4/14,, 立功路,0.806451613
2015/4/15,, 立功路,0.713709677
2015/4/16,, 立功路,0.669354839
2015/4/17,, 立功路,0.685483871
2015/4/18,, 立功路,0.286290323
2015/4/20,, 立功路,0.725806452
2015/4/21,, 立功路,0.387096774
2015/4/22,, 立功路,0.794354839
2015/4/23,, 立功路,0.649193548
2015/4/24,, 立功路,0.356854839
2015/4/25,, 立功路,0.201612903
2015/4/27,, 立功路,0.572580645
2015/4/28,, 立功路,0.798387097
2015/4/29,, 立功路,0.620967742
2015/4/30,, 立功路,0.661290323
2015/5/1,, 立功路,0.139784946
2015/5/2,, 立功路,0.455645161
2015/5/4,, 立功路,0.741935484
2015/5/5,, 立功路,0.588709677
2015/5/6,, 立功路,0.379032258
2015/5/7,, 立功路,0.818548387
2015/5/8,, 立功路,0.75
2015/5/9,, 立功路,0.209677419
2015/5/11,, 立功路,0.822580645
2015/5/12,, 立功路,0.846774194
2015/5/13,, 立功路,0.401209677
2015/5/14,, 立功路,0.725806452
2015/5/15,, 立功路,0.814516129
2015/5/16,, 立功路,0.314516129
2015/5/18,, 立功路,0.75
2015/5/19,, 立功路,0.342741935
2015/5/20,, 立功路,0.377016129
2015/5/21,, 立功路,0.255376344
2015/5/22,, 立功路,0.372983871
2015/5/23,, 立功路,0.171370968
2015/5/25,, 立功路,0.77016129
2015/5/26,, 立功路,0.364919355
2015/5/27,, 立功路,0.387096774
2015/5/28,, 立功路,0.283602151
2015/5/29,, 立功路,0.254032258
2015/5/30,, 立功路,0.130376344
2015/6/1,, 立功路,0.487903226
2015/6/2,, 立功路,0.366935484
2015/6/3,, 立功路,0.665322581
2015/6/4,, 立功路,0.657258065
2015/6/5,, 立功路,0.754032258
2015/6/6,, 立功路,0.137096774
2015/6/8,, 立功路,0.508064516
2015/6/9,, 立功路,0.697580645
2015/6/10,, 立功路,0.483870968
2015/6/11,, 立功路,0.314516129
2015/6/12,, 立功路,0.280241935
2015/6/13,, 立功路,0.137096774
2015/6/15,, 立功路,0.212365591
2015/6/16,, 立功路,0.318548387
2015/6/17,, 立功路,0.3125
2015/6/18,, 立功路,0.625
2015/6/22,, 立功路,0.324596774
2015/6/23,, 立功路,0.60483871
2015/6/24,, 立功路,0.608870968
2015/6/25,, 立功路,0.318548387
2015/6/26,, 立功路,0.27016129
2015/6/27,, 立功路,0.129032258
2015/6/29,, 立功路,0.346774194
2015/6/30,, 立功路,0.318548387
